num_of_morning_visits,num_of_evening_visits,num_of_afternoon_visits,num_of_visits_in_weekdays,num_of_visits_in_weekends,business_id
2,0,2,3,1,"kQnGgr7kF_bLKkys1Ikrqg"
268,476,278,735,287,"Q5pTGQKEhxgit1fwgrHEbg"
2,9,3,9,5,"DKPaI4XvF9o60CTNlvNzVw"
34,4,79,83,34,"mbWLtkF1_kKigPzszP0ekg"
8,6,6,12,8,"m21AFUubd9EfQ8M6Ykt_6A"
1,2,2,3,2,"3lP6nAwR5i-1kkutMI_XAg"
24,163,50,234,3,"CM4LY-sjD0Q9HivGTFHdoA"
54,96,181,224,107,"XC9tnUvXARu6XjRxO6u8DQ"
2,2,2,6,0,"RSYYygihT-yOE0jCp3_6XQ"
1,1,3,3,2,"TS7WJefIj-Yzmjw0A81UWA"
3,0,2,5,0,"BpXTzroVFa0sQnfmlJ9rNg"
24,19,80,105,18,"wqOSESjr7ioLSAUOzzhqoQ"
20,21,47,63,25,"g9k6iI889g8V6FLXkTXM6g"
10,7,9,11,15,"py1ayzfIP4sshu8x3IWLiA"
236,289,176,478,223,"9Vr8jxyP6eP9HQcEbg1awg"
2,3,3,3,5,"6lHrJ7Zfz73Ec7z73Sm4MA"
2,0,3,3,2,"1Y_QnWorJI4RzrNiYzuysg"
28,0,31,53,6,"zRDru1Ew3aSZHMB99iv-bw"
63,40,120,158,65,"QZLwRBpWftIba7NQVt2ang"
19,8,5,24,8,"6ORIl-RY65owILoTvwyM1Q"
85,8,148,161,80,"H8e1sCxlaMBYFCYgOF4pWg"
40,198,7,196,49,"XGBK1_iyfPC2_0nmAo12WQ"
0,9,6,11,4,"6shqJmyrhI3noyh2_C8fNA"
3,1,2,5,1,"R_6z16uSv5Zr5xpr7oPY3A"
115,546,92,587,166,"it1cP71lWcRaUkr4IwuUNw"
84,123,45,183,69,"ltVxtOziyDXMlnZzWPL7TA"
50,26,20,61,35,"lfg7MjIOeV1uW-4ehj4E5w"
2,1,1,2,2,"f9RASN8KvBGs9feNYOluiQ"
51,52,51,122,32,"YriiMsdsv2MU3tfBdtMXgA"
5,7,2,9,5,"NPQuF7weJzv6P3tn8eHxZA"
1401,1261,765,2436,991,"hMX4U1Ie3_PLCOQM2-BnDQ"
2,1,1,4,0,"f51VBRP9Kqa5odpRjpaOHg"
1,4,12,13,4,"Bdle5wtKm63fVsehxbCgHg"
1,1,1,2,1,"LIHvBVKgoRJ-3azDNJUumg"
49,156,91,231,65,"s8NoNszuW8_CSFQjLApRuQ"
370,540,269,825,354,"waW8k-4ebmByGUJtndmnJQ"
1,11,17,24,5,"7kSj36mgMGaqAlRJcjexFg"
35,10,46,81,10,"LQvgAg-uZvYSqF30APImXQ"
16,351,13,287,93,"foDMwBRGJvKw791v0AT7OA"
267,542,302,810,301,"YuS7tA9VkXwgywis4TMspg"
8,1,6,14,1,"roOLgLXwtgFY0z_usDaSwA"
3,10,0,12,1,"d53YK5c0OczXpDCBijbJLg"
350,729,238,985,332,"1bnte8O-rO_RcRlp9y2u7Q"
12,164,15,139,52,"CfdCsVkzzM3uJKGRzA0ufA"
5,53,2,41,19,"kE7hkm4gn8dHvGFwqy6foQ"
91,53,39,124,59,"QLuWutuU6jHOGZgUWBWQQg"
1400,2076,1242,3365,1353,"OUpcKYGbVYgSS1Oo7aQ56Q"
22,57,32,75,36,"15JT2xhzP_R96mT6rK882A"
434,463,1090,1382,605,"G69-uLxHs3h6uvrikivpVA"
63,47,146,178,78,"NI6HbJtkRSwzcaSxMaSSwg"
39,6,28,59,14,"HHk1B2dVD-ndW7kuQVleBQ"
2,5,0,3,4,"dMnjZzAABWSAF_c8RUwaPg"
113,101,139,284,69,"dZVkAatXi1tABaHTwuS1Sg"
7,19,29,51,4,"CRowuM53GcsaFQrVMwMNfw"
0,2,3,3,2,"PD5tD6cECrOTI9mVztPhvA"
2,1,3,3,3,"Gk9Jtes_nirq7WEMrQNfzw"
8,8,25,25,16,"6OlobuFnApFPexjy1WSlGA"
316,360,227,628,275,"cMBZ46gNJPYY7zkxDb1piw"
145,182,247,411,163,"zuqsWG_FamUP3FQnL49Q4Q"
269,30,57,284,72,"WcHyF3ecMxK7worFjqI8og"
132,41,377,392,158,"gOfy0w9TvqIG2TY7taxySQ"
89,146,82,206,111,"fRb2pObaOLUI4CgVVXnm4Q"
2,6,5,10,3,"SXBHyBKjGG0o1fAtVl7_Vg"
49,59,93,135,66,"SQFf3cwW30RwFdVA5pd6JA"
4,10,7,21,0,"2yNdp8T1ezuHAzwkUdZMAQ"
26,32,40,71,27,"U4NmHKsVwbnM9lOXaGXGqw"
14,0,1,14,1,"1VOMX_37tHkprhTpW01ZOw"
49,73,129,171,80,"hlu6-OWjyFXxkzppvPSHUQ"
329,714,424,1025,442,"Ss7rZpNaKRWs4Wkq_tHuTA"
1,5,7,7,6,"7sPKP-0478p5pklWrFGSWA"
7,0,8,10,5,"1Dhcvlg8MH7Y-_mUWnvVFA"
2,1,6,5,4,"4ouobs1iOkLZ1RvdRJoCDg"
1,4,6,9,2,"tcSgN0K3KhgVSSmHOLSWjQ"
12,38,28,64,14,"4TSly_fRMGkGsFV9rsfjdA"
11,38,24,52,21,"uAs3NRyyK9n89RjdXMH83Q"
18,31,9,32,26,"qjTsleuff7mJHp2qMVGMwA"
2,2,0,4,0,"Akxcs8o9UJmBI67n85bxOQ"
7,6,22,34,1,"KdnWZqFccYzpFR5npY0tSQ"
7,3,25,34,1,"rb7kPLYeIfq0FmdpnAxKng"
3,3,3,8,1,"BaEONZWKY-bxtCbpe95Qsw"
1,0,3,4,0,"HQJNyawkyBm7oWHaduyCPw"
22,0,6,12,16,"Du3ESDGEGz65P3i6CnhAQA"
3,0,3,5,1,"M2h4vQKpGoWl8OtesEJNtg"
0,2,1,2,1,"w9fUiD9LWMIZwsROnG8JWQ"
4,57,78,91,48,"e9TeHrdVJe-NaAaEXWapfQ"
6,12,30,30,18,"NE4Q42OVJdlibncRXtJXvw"
5,0,4,6,3,"eZvGr-rrm-Zkgd8swwfPtA"
1,1,4,5,1,"3w1wx2KhRDG_WvqUuUB-Kw"
0,0,4,4,0,"1YA0qe0eyMmFrmtyi7_c-g"
18,20,32,50,20,"WrURAPswcLarD4UvWe_1PQ"
9,7,16,27,5,"rDzvwiusMr5MMZxXo1GfMw"
16,2,16,25,9,"DM2BkrBTwaSbsXNvKb6z8Q"
11,1,10,21,1,"CCzQdRLTjXhC2kNZbUcOjw"
75,12,59,115,31,"87RWo3DTr9IUiQykyeBeQQ"
15,447,40,421,81,"cEf-MFkK74eF7juqGCRwAQ"
7,1,13,20,1,"tm3JpaTZqMQwFxzQRpg1iw"
8,1,7,15,1,"qMMYcHt01gcjjfvefiP6Ew"
12,9,46,48,19,"JXQ944d4Zmnrje2Ct9uZpA"
4,0,2,6,0,"GF6DDBI-kE0iAqma5hNKpQ"
6,19,29,42,12,"D7gelbHpofSiByVBM1xFDw"
26,13,26,46,19,"pekjBx5Z17tCm5p2W5VSYQ"
12,13,34,46,13,"TN3FpaIIX9j8EOydMvYOvw"
33,27,21,52,29,"c35VyrGF38BHVjtMxA-zHw"
571,74,221,662,204,"PZ4e4vDjzthBlOb4GphTwQ"
4,6,10,16,4,"QW22Xgl6_VEtP-YmUAw3Wg"
0,0,6,3,3,"8YoOcrqm5IGHd733BniIew"
12,25,43,61,19,"j_VWgqq3k5kEhOUK0wk2Iw"
2,0,3,5,0,"OOtZY8gsuxUQS5Zm8Xur5g"
1,1,6,8,0,"d4VYzXi8P6UFdA1kiilIfg"
3,11,13,18,9,"h18QcATS22rc_XTVlTEv2A"
6,25,32,45,18,"7VDrYNPhDKFURZbK4MRi8w"
34,17,82,95,38,"bj9tSJyT-v51KVekGOG77A"
4,7,14,18,7,"F5aHkK878v_exzdDmAN61Q"
6,6,5,12,5,"bex7vuFm1H2czplLYhikMA"
2,32,8,35,7,"XvULjGguZSsuwRfQLcbdfQ"
5,34,67,74,32,"93zReBgrXHZxsONq6JtEzQ"
2,4,2,8,0,"N5FcLD_xfZi6r7QIy4QIcQ"
30,260,202,346,146,"5h3pG3cq0eNNErp27V6zRg"
13,1,8,17,5,"XXkuw_Q4CMll2MBQVy3lXw"
28,82,16,98,28,"a3GklJX7eSbZb0kpddj2sA"
52,58,191,231,70,"RbMQbzxXAbrcABVxjyr87w"
60,53,48,94,67,"RquV0ktcUiQkLP6o1ojJbQ"
6,3,8,14,3,"-fMTngmHp9th6dpA_bvM5g"
69,405,187,473,188,"xg3wLw6GtGiv9qXcRkmZTA"
1,0,4,5,0,"LGYSOd7lnhwAGuFJOmo6Rw"
3,1,1,3,2,"bLHsCwm3SFfScSMrBGKeFA"
2,0,7,9,0,"zcJyxsoe8jVHpf7eIcIvjQ"
83,595,337,696,319,"2Dbg35sPSGmZGcbBVNa9dA"
5,2,0,3,4,"0fIZF_Yi6NmhBnWz-8Bq5A"
44,53,22,80,39,"E-vpjU-T7ssWsswziJkJFA"
248,1088,245,1256,325,"8Nsh8u0zHYegI6XT1L39Lg"
4,4,10,10,8,"SrW86qZWfPe5za2e_30dWA"
9,4,8,15,6,"TnRL6UB8GlC_1rrN7OlnKQ"
2,0,5,6,1,"_lPPssDM9GJEWkzQhCB1Ug"
3,6,9,14,4,"n6BEmiLk_5tnnao5a4x7dg"
3,6,22,16,15,"HRwnWE5-NIqHiRva0IyN6w"
4,4,24,26,6,"ntDHqh-HY4AUgajkBB-qLA"
3,3,0,3,3,"a5ZkFRhNQw_kydpXpTRn5w"
4,23,28,38,17,"XoWQlJPUTwxqF5QeN4w1vQ"
19,18,18,41,14,"Tmc8WOf1an_X6qnCGxM02Q"
1,2,0,2,1,"UARN2BF_4ijjkB_YEYA8sw"
0,4,3,7,0,"HUIlaBnvhhfKfREiPNG76w"
0,0,0,0,0,"98lNBg7GGmwYovGe2QScxw"
10,155,57,167,55,"3UdZcZn_DGPtjk5GSZtLNg"
1,6,9,8,8,"Z9wRtVdBs88PeMKcjcx0vg"
2,1,8,5,6,"X4Lc8UdVx2a3EvufcGszpQ"
5,4,16,15,10,"TrbhJJUIX7ed4I8ITSOq3A"
4,1,4,4,5,"4DhXcApdFZajmTDUA3cSyA"
0,5,5,7,3,"hiuXnlk1LJgDHQcX1eusOQ"
14,89,33,93,43,"y61Tq9hErVKoT6w-qyRpwQ"
139,322,322,578,205,"e3wd2aY1TUYYHgEZ4irDdQ"
19,16,11,28,18,"ZjmuvTiaXg9jyATgXItmfw"
42,92,96,165,65,"d_KteuQWZSNOfbmWGViwCw"
25,0,11,27,9,"bk4_xLUNjNBs6-YclITSvg"
6,4,8,16,2,"RNak3sbAUt2ddnQhHutw-w"
94,563,297,712,242,"sXEOGcIGsO2_zZXYxVadTw"
0,0,6,6,0,"On_abhAuTH0TDE7K4x7mMA"
7,2,9,16,2,"f1kMxm5H0xGnUS41KYjmHQ"
7,1,3,10,1,"9e48vrLJix1DqddMcD_4oA"
3,1,1,5,0,"8s49ryXg_vSg_W2h_Um8EA"
1,7,13,19,2,"4gAM43ZswPRj_H_XS4BCmw"
88,172,34,208,86,"qy7DyCFqyTPDctp_H1n-Pw"
7,2,6,10,5,"MmrrGjnTM3QUqHI7_gh9Rw"
0,1,3,3,1,"niptZoO3ddBC8IAo1adWbw"
299,129,628,614,442,"5tYLVPc2PKnj6E62sY6QMg"
8,13,29,42,8,"bfxwldnm7izbQpz4gj3Cdg"
15,60,59,106,28,"n7sSfNtNYYcDZVly7_CTWw"
16,24,22,54,8,"0IJWOuv6BT3HYo2V-SttcA"
6,3,42,35,16,"rrV9jCOG18cB7FtOOZpubA"
38,327,194,413,146,"KFyB0ueHjAfN4oadjKsTEw"
4,94,27,104,21,"cU2fTH87QddavOQ8W11aEg"
5,1,2,8,0,"jeiuqBJSgMKiWcIWKZJEWA"
0,1,2,2,1,"sfu3PoDKstOM0V8xmsgkKA"
3,1,7,9,2,"f8y4w9N4ZocKWMUaUg27tw"
0,2,1,2,1,"VQ3BMUcaXQYfoJqoitYMyg"
5,0,8,11,2,"Bfp0U0lrD79X9clT8gS7YQ"
8,2,11,14,7,"HYG0dpI3GvYYdxTe3OWSDg"
1,1,1,2,1,"syOKuWL-n8Zo3HG-V9qihg"
111,478,92,519,162,"4GQhbPvGU5r23YdVm8EmkQ"
33,1,9,19,24,"iMbDhkmIqBLedsbu1sIixA"
5,16,11,24,8,"4EcYgUlXFncL-XNwd2HhbA"
1,2,0,2,1,"W8rWiDBXf6DmWws8AOkLhA"
6,9,3,11,7,"H70utyH-kb12Dg3KRPjuuw"
4,1,2,4,3,"Bze-xqDQGSCqc7FnSfFV6g"
58,1830,304,1751,441,"i3ogCoQD4MY_sR73GCk-BA"
588,761,474,1272,551,"t0yVlH_n9_eEZskHwr5cnQ"
12,26,75,86,27,"3KJYJGJf5qoUfuK7dCWzPA"
33,46,11,60,30,"VRYTY0V7WZcP-yzv7bkllg"
0,9,1,9,1,"qW_CKqXskYszZiV80IZZyQ"
4,25,6,26,9,"-FTT107VGsLs6MzvK1GY2Q"
3,1,4,7,1,"bSj-iE1TWYLqe9KnGomcnQ"
9,2,4,12,3,"6EYtuLuhawucpk2zIQlYfw"
4,0,2,4,2,"QjkhIWH8CHz4Sr_xfI6Qnw"
319,510,433,890,372,"Z_etWN1CFQY1aslGbU6p6Q"
0,15,3,9,9,"UyXONLtMwszB4ojSYeFg0g"
980,369,612,1293,668,"fkVBloMEFJG2HTgeCxeNDg"
85,277,38,325,75,"d9ZAurAnQSiYaUowoYP5UQ"
5,0,4,7,2,"VfbXNgh60icOrwGl1FCepQ"
5,2,30,31,6,"ONilNf02-KECSkrFucP0ww"
2,3,9,11,3,"ajFbAnpJiEypaD_5Kditkg"
24,7,20,40,11,"P4DFt08-0d9uvsjh6oDh8w"
1,26,7,25,9,"-sV52FN-D-I808tyRPEvwg"
37,6,15,48,10,"gWWIMEx6D8-tobzmcty_mg"
27,444,109,448,132,"b74OkNuf_AdlweBn23qTdw"
147,1037,493,988,689,"98JCwqDtsGteVZey1cmULg"
21,9,10,26,14,"EDcyBB-DthAXOQzMSVfGPA"
44,33,26,76,27,"EGqM3lQz-Qa4av-xxKfR6g"
3,1,5,7,2,"thCxcIeGIfIcUjipaTcHRQ"
1,0,2,2,1,"eeP2DOgDRoqYsNNpGIZSKA"
10,7,17,25,9,"87XIUcFr6uWBhrZJMTU1lg"
85,63,86,115,119,"p8mwj62GeWeH79-DtwdnbA"
29,106,161,189,107,"38zjidDyoj44e0SJHl3lBw"
1,2,5,6,2,"j2aYu4hLPuzDkQh8wXF2qg"
3,7,3,9,4,"kCWIzY6yk-cLE0x4mgfFcQ"
2206,3070,1911,5108,2079,"8IMEf_cj8KyTQojhNOyoPg"
4,18,13,20,15,"aiUid8bYNV8XDiSk7EKOIw"
22,39,33,62,32,"Dlcq5WrqBbHv3t3iC_9FZA"
2,4,1,4,3,"xR1euuA0Vksp3g-lh3H24g"
1,4,13,15,3,"wcNs-0hClpHMlHa9q0RwKQ"
118,144,153,284,131,"wpUhxNougI56EpVp5zutfw"
76,88,93,189,68,"fk1xn2XWHBvRDQ2Oh3mGMA"
29,29,22,38,42,"HcqUVzS21ojjmPh5TZVr7A"
33,28,13,50,24,"QOZV8_AQnmGEutiahG2VFw"
19,17,11,41,6,"1ppyc8g7reX4HeCLmHD8hA"
20,19,0,33,6,"oFZ9heifnqjpgO1wKyoe8Q"
28,26,12,46,20,"LJV6DQ7NhJuZcSYaFsTqQQ"
58,72,96,163,63,"lRHRXwIKd15YrqYJSH4D0Q"
32,59,99,138,52,"FZ4NtNg5tJV10wVEcmvGKw"
1,0,2,3,0,"Rg0oNG58dRn-wBCoa4ULkQ"
13,209,88,228,82,"TCX33pPlZzWKkqLG07wvUg"
2,5,10,12,5,"wJmByz2jHJW0bRAuV3gtsg"
8,0,5,12,1,"9fmmIEcWgV18ZopEYGexIg"
16,117,132,185,80,"6S8fuDZ2XDcsPibF3BNTsQ"
2,0,3,5,0,"Etwgdnz-tOOEzj53IRt9UQ"
76,54,149,200,79,"xjFGpzNg3FJuqpS-_B4ceg"
27,2,20,40,9,"CMNyxLc7mhbp-4yl5R1mog"
11,12,17,26,14,"v6g72E0IFqq2s7Y4GVYYEg"
95,147,50,214,78,"gYeNI6qp7GcgUa7poIY-Ag"
1757,1009,1287,2901,1152,"bcjTnJvhHvuksE0HFyg_Zw"
2,8,4,12,2,"W4nOms707NPHX62Sl_HKoA"
3,12,13,18,10,"0vtnR5YzOOoOwg7Ot9tXVg"
23,0,13,32,4,"4eu9GvDilBnwulTlPAMBVA"
18,140,99,186,71,"4ZZab5hinFzHtj3sE8vQWg"
15,3,14,25,7,"e_cyBf1D05baZtG3TfcxJQ"
1,12,2,14,1,"wyGlLPKpEZjN9SHGYaLilw"
1,2,9,8,4,"M7qCQBajSejohdiulVt7dQ"
6,12,16,23,11,"17DH71nNLvUsfGIpQyvcgA"
38,242,81,262,99,"k-hE27MVMEBWdMsto1DeUA"
4,5,0,6,3,"esAKKAdOAYu3177jkhoqcg"
2,9,10,14,7,"0APzrvraidlRRxW_z0QxDw"
15,41,40,71,25,"EMuUOIrtNJsPmNc8uudyoA"
4,1,7,8,4,"s1jMMVY0O6dkdY6zFe5M8w"
39,249,184,331,141,"IzcWiXp9PU08yi7r4ftp5w"
93,411,383,598,289,"V3ruBXjLGWniPNPQOzRhiw"
6,29,7,33,9,"o5WqgNzaKr3BIGU988qI0g"
0,1,2,3,0,"u2Tb0_gjYOx0pBzJqpKviA"
10,23,40,53,20,"PHc0tFBdprjuhwk1bdVGBA"
3,3,1,4,3,"1ahZv3c-sVaTxjKn5dePmg"
8,6,29,33,10,"SstjH0PIHzjaEeSBbtZDEQ"
18,60,67,111,34,"EZkoSglbAjy1_WGlUQtvsg"
44,29,62,98,37,"6t5Y5wVyaK7XiyUbSuHyqg"
1,2,2,2,3,"Ed8wRogZ6S-NJrWd2zPHeg"
4,14,9,20,7,"oS8MRbCJcOVFUAqORLL9BA"
13,195,16,182,42,"Q9KILetOPQLzIf7Ki3D8-g"
0,21,4,21,4,"pU4R-S9HH8PtmobbWMsoJw"
15,244,30,220,69,"DoEMzev54WS8_lVLJ3NoqQ"
55,382,166,445,158,"Bp93pemXBdiEkZqdK-vtgw"
1,0,3,4,0,"SqUzydDijMh7WL5ZnTCXaw"
151,69,54,181,93,"Gu0L9ZxxCQkQbRvRes2MYw"
6,14,4,22,2,"SBA01FxLoENLuspbo2idag"
11,8,8,25,2,"6SyD06HCpZtrMzjf9LdnQw"
6,23,44,51,22,"aXBH1wh0pJImSvr0lLgs_A"
4,0,7,8,3,"DcPphPZjsQfDMbM74lyzXQ"
5,6,29,24,16,"CNTijY6PVNFe69Gs7jBddQ"
5,0,7,10,2,"wgfPliRXtgZwq0CgI83HYw"
3,4,6,10,3,"Cuu-LFE-8rHaGTGoATX2Iw"
19,21,42,58,24,"74Bb9gzDhCesD1lx7uycDw"
0,3,4,4,3,"m0E83E8PWr76MHaf7prCEA"
48,14,59,96,25,"Z8KWzSsdAp_PwYVDRBWCPA"
21,8,76,65,40,"erv9dJX2BGgNMy8OZZqHEg"
3,2,9,11,3,"N4PzNx03RnPWA_zkLZqCIg"
12,4,10,21,5,"xIVf0oSwdhs8He4PokqlHQ"
40,13,36,65,24,"Ji0KMZ9jrst1C_lJyYP1gA"
2,1,5,7,1,"sDLaF6g1seP_diz_-V97BQ"
3,0,2,4,1,"1LKeCbT3FzWKI0Em-ca1QQ"
0,3,2,3,2,"NlTKsNxZtiN3N3H3VGatTQ"
4,10,6,17,3,"A6XG3DbCYE_2NjEG9g5aOg"
2,0,18,13,7,"0vMCZfuJa5Yfnri9KlQE7w"
1,3,3,5,2,"sBcflBh12vwMWXWPqCnuPA"
4,1,14,15,4,"zE0nYTTP3PQ5Bdy1ZHaYCw"
1,0,4,4,1,"1bOEJ69QaYZM2Ev-107ZkA"
1,9,14,14,10,"RikwidGD7inYb1F26NZJkg"
104,277,221,393,209,"OvE1oiSg9gaB9cLGzBPlnw"
23,34,14,55,16,"KuIhhZRZD0mSHJZTD2IU5g"
10,4,13,17,10,"lj5BR5y5p7BnLTnhLYcJjQ"
103,1,26,78,52,"Clz5M4GWy4t45vgZhz3Y1A"
29,43,32,28,76,"E4IJHtD3dkBbOWVUkDL1xQ"
107,129,259,361,134,"b82sxv-CciqQd5th4Dqe7Q"
11,33,81,83,42,"0IoRA9uBQgZbaXhm1QevUg"
0,11,2,7,6,"GR9MQzx7ehuCA1TCcondgQ"
3,4,5,10,2,"5w5u6orxarBO1NBOTYiYXQ"
2,16,11,23,6,"6hwUVTryjdYm0_jnMHPU1A"
6,5,6,10,7,"4QSVTSEoCeeHb-QOpgS3vA"
8,5,15,22,6,"jTaaL9gLND-qdJurleTQ1w"
18,8,24,43,7,"Vff4I8GiERiEPrDu0wJdvg"
3,4,5,7,5,"HxkJIdF-Kwzkm_NNanl1WQ"
0,2,2,3,1,"88uFEI6jcd8swtBp8RQ7Zg"
9,22,14,27,18,"wsjBbsRNvR3hOsdvez-ZBA"
1,3,11,10,5,"Gd1q7Dzp9p6GOIAakBenIA"
26,45,105,118,58,"oDlO3A5A0TaT1tAZElKdFQ"
37,291,199,382,145,"K9Bv1h5BQPXZFl2Q0FnXrw"
11,6,13,19,11,"lvjsK204LutBPCWzkPjm2Q"
35,6,46,76,11,"A6sZGAgYJJ7H8lohb-s61g"
18,20,43,55,26,"giN5N-_8M_Anzoyo4cuLVg"
3,5,6,12,2,"RmFyHoKbk_f9HXz7EEu1jA"
39,43,95,129,48,"RrczRK6iyCYuDa3bCz9jQQ"
25,47,89,122,39,"kfdioIIbbeNUN1iDUvSyzg"
30,31,24,65,20,"oVhNlLGJFCw8DODsUnhZ1w"
3,3,7,10,3,"4UW9-KiLGAQIlhR0QCJ2Gw"
8,5,3,10,6,"9fxG0UEa4tehbLnUU6T32g"
1,0,3,3,1,"A8762JX5fOSqg3UXdmPIwg"
3,17,23,32,11,"zKNe7itqzTGttuG62T8MSg"
17,23,40,55,25,"hKOzRAXnJSE7vLXPSP9fNw"
578,519,1220,1740,577,"2zEFZGsvke88yTKaktWuZw"
0,5,12,11,6,"0yTpFBqOm8avOAarIKIsPg"
153,249,205,432,175,"MLPEpxih9E8NySHbM0FSWQ"
0,1,2,3,0,"AFl7J0Du7L08Alhi4G-qjQ"
4,9,34,35,12,"kIWwo3t4VSy9H52JZBlnJQ"
2,1,2,3,2,"NmscN6E4sY0AdDKbDaiaWQ"
2,4,3,5,4,"ayohHBoVcyUM742x3dCzJA"
8,14,6,20,8,"u40XZVt7tCya8sN8V-m_gA"
10,1,4,12,3,"I0kZ5AgtltKOpZIY8jOJBQ"
8,6,5,17,2,"dm4thvdDU9MKk8sbo6WuBg"
16,88,26,106,24,"J7CMXZNZzUcI2K3vSgMo-Q"
273,172,116,400,161,"M85zYyPcMXuGIuMyz7YmfQ"
1790,2214,1515,3927,1592,"G0nUhYF2q4tnoOPwCjXLig"
108,146,114,268,100,"LrMFas19mewVC9vxI-zkoA"
1768,274,1395,2698,739,"Rnx0d7HExjZcd8q7PXmrPA"
6,2,3,8,3,"ufcuYEqTh2A4X1LNzTyAlQ"
90,669,399,893,265,"QvRK2dyv4EDxuJ-LuodE2Q"
8,49,20,52,25,"otcGBl0p5cTCfSOr6O7PCg"
2,10,15,15,12,"jWNL7Xg6umMCqeHSWlrP1g"
9,17,20,33,13,"rFNpYlWCTz8PjbLeAel62g"
0,2,6,6,2,"Vvv551CqNr1XBAEsoCY-tQ"
64,168,234,309,157,"cE16HnvfgpTAk2GW3mF4Aw"
163,106,242,365,146,"F3tMbFB1PWpiwEZmVYSxcA"
0,8,6,10,4,"Y37LBcBEni--WrFsK-O18g"
6,1,4,10,1,"DcYFI0Q0nM2sYgD67efQLA"
2,6,5,8,5,"V9M3UQkY4qY9sCd4BeBOTQ"
4,8,18,24,6,"3yS5YojW3gTJor5abgH_SQ"
15,6,11,25,7,"2L6B2cr23suv9ltpSAPTdw"
0,0,12,10,2,"l5NtmITgZNxDN4NvKEOYcg"
25,239,14,223,55,"5f8tdGEQ_L3a9hyEbMjAwQ"
132,299,220,474,177,"W0TK5K3VLbnNrrzLTaaykw"
343,3,92,294,144,"SX2jlXA28czDXQBxQ2I0nA"
0,1,7,7,1,"zQqzStp_qqzj4iHz62MOvA"
254,2212,775,2375,866,"8buIr1zBCO7OEcAQSZko7w"
1134,1314,968,2491,925,"65EJzWvIUnE1YwpfW6Jl1Q"
1,3,7,6,5,"SrBKQWkkSHn73GR1EdxmyA"
165,57,89,229,82,"UvaMzHlR0kI1Up3vvbrszQ"
1,14,23,25,13,"Ux31Vwpxx4gK32MuJ7cj4w"
54,779,417,922,328,"QJlab4DqvBRJPUfg7Vn5ZQ"
19,10,19,41,7,"h0Bgl8mTLQCWakpjCRH1fA"
19,49,56,82,42,"yls6yVb_8tluUBmUa-lbdw"
17,64,64,108,37,"vBit5A1ZfVhHebR0YvA06w"
0,4,3,7,0,"CtoK6Fz7RHJQ4txarmXVzQ"
3,2,4,8,1,"0G-gdVOA5xeu8JU3iejvxw"
2,4,12,12,6,"GEJ3L9gD4eWTB9U9SjsBWw"
85,406,381,716,156,"MTSuKAjBcxQKSG0vX2sQLQ"
12,6,6,17,7,"FPo9M2n8exn_QLxObNAJLw"
6,6,2,9,5,"NzepbaoejmkIhEGbpsF8Ug"
2,0,3,4,1,"okQXAWS5qEbuHiD7_xOaUw"
15,74,61,98,52,"d2T0T4biO3aPUXqM9qhuRw"
30,329,208,407,160,"UBvTnbaRD3h_dD6oXWLCBA"
122,225,287,439,195,"SazFxQogqwJAMbi3dTFVuw"
15,82,84,137,44,"nnPrX9mNtV5jKpo2cMjPWQ"
35,49,32,79,37,"0RgJ1WveTo4xzofb36IPJQ"
12,17,79,78,30,"j8qsf2QbpgkUwTe3RORLBw"
5,13,14,22,10,"VAEUkY_a_p94bT3Gnf4FDg"
6,1,7,9,5,"UnynUK48AkcIUBEfn8bHEg"
11,27,17,45,10,"NPajXAzm7XmFHCGifMA_Cg"
53,31,161,201,44,"0NaMndmNpVG619STpRCY7Q"
2,28,8,25,13,"SbzySmed11a7sBvVQy7o6Q"
8,13,10,24,7,"wbynSnBi1hxE0fXuwmB2lg"
1,4,5,8,2,"w0cZMOwwEPO7TpHa55DfeA"
95,3,32,101,29,"Yzu-F354mu2xCthU8ZEzPw"
299,370,236,670,235,"QfylH0_CZaEU9UHix933Ag"
5,5,10,15,5,"7Mxalb8qYBB6L6R_6qgIkg"
79,46,37,125,37,"PuBRRinhAGWMDDgrUhOM8Q"
106,53,42,153,48,"zxD8WoHXyXDCD_sTywmogQ"
3,1,1,5,0,"JYlDdlqhYfIRkEaJ1QTUHA"
8,22,24,36,18,"Dpc8YjXWD2k7us1w4o_AAg"
5,5,1,9,2,"4Ss7dG57sLMnEVULLWLSeg"
1,8,3,8,4,"WkEExsQdCS6-0C8KXMdNww"
0,2,2,4,0,"qN0bkuBs-E-hRgEcjxf-yw"
91,276,257,462,162,"CSouUEXi0rPE-Dc1MwTrZg"
231,313,436,705,275,"JGeWyuOFdutslFBM3GxUcQ"
1,5,3,7,2,"c03EKl8r6N5yezCl06PWKQ"
11,18,17,36,10,"hjv2UBOHFXsp0KnUY-dNfA"
2,24,22,33,15,"mIu-I_EAyLPUIH_vV0AfWg"
829,1280,1094,2243,960,"WT-v-DgQvW38DewVyTLdTA"
11,1,10,18,4,"mUscn66rVwGRY9rDdtuWag"
1,3,3,6,1,"xBSQ3xs6qSIEr07WM4ho5A"
18,1,18,32,5,"ddFOdjlQ_uagpDk6w_a5jw"
12,8,13,30,3,"LSoLdxIc3asxh6nENbQ5vQ"
7,192,5,177,27,"LOef7o-dnn7Z5qGMZCi6pw"
